etab_identifiant_de_l_etablissement;etab_nom_etablissement;etab_adresse_1;etab_adresse_2;etab_adresse_3;etab_code_postal;etab_nom_commune;etab_libelle_departement;etab_libelle_academie;etab_fiche_onisep;etab_type_etablissement;etab_statut_public_prive;etab_libelle_nature;etab_telephone;etab_mail;etab_web;etab_latitude;etab_longitude;course_code;course_univers;course_niveau;course_formTypeSigle;course_formTypeLib;course_formLib;course_formSigle;course_rncp;course_codeSco;course_urlOnisep;course_color
0752845K;LP Théophile Gautier;6 bis place des Vosges;;;75004;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19395;Lycée;Public;LYCEE PROFESSIONNEL;01 48 87 72 32;ce.0752845K@ac-paris.fr;http://lyc-theophile-gautier.ac-paris.fr;48.85464084761452;2.366332571426401;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0752845K;LP Théophile Gautier;6 bis place des Vosges;;;75004;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19395;Lycée;Public;LYCEE PROFESSIONNEL;01 48 87 72 32;ce.0752845K@ac-paris.fr;http://lyc-theophile-gautier.ac-paris.fr;48.85464084761452;2.366332571426401;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0752845K;LP Théophile Gautier;6 bis place des Vosges;;;75004;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19395;Lycée;Public;LYCEE PROFESSIONNEL;01 48 87 72 32;ce.0752845K@ac-paris.fr;http://lyc-theophile-gautier.ac-paris.fr;48.85464084761452;2.366332571426401;FOR.3732;sécu;5;BTS;brevet de technicien supérieur;BTS Management opérationnel de la sécurité;MOS;35393;32034401;http://www.onisep.fr/http/redirection/formation/slug/FOR.3732;#3dff3d
0781984H;Lycée Jacques Vaucanson;14 rue Albert Thomas;;;78130;Les Mureaux;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2620;Lycée;Public;LYCEE POLYVALENT;01 30 99 94 10;0781984H@ac-versailles.fr;http://www.lyc-vaucanson-lesmureaux.ac-versailles.fr/;48.98192875533414;1.9234274886637195;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0772337X;Section d'enseignement professionnel du lycée de la Mare Carrée;Rue de la Mare Carrée;BP 70;;77550;Moissy-Cramayel;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11190;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 64 13 44 22;ce.0772296c@ac-creteil.fr;http://www.lamarecarree.fr;48.63054297065947;2.5886959422543927;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0931388D;Lycée polyvalent d'application de l'ENNA;Place du 8 mai 1945;BP 85;;93200;Saint-Denis;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8352;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 49 71 87 00;ce.0932129j@ac-creteil.fr;http://lyceedelenna.fr/;48.93966067568656;2.354911166718726;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0910755B;Lycée professionnel Nadar;42 bis rue Charles Mory;;;91210;Draveil;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6930;Lycée;Public;LYCEE POLYVALENT;01 69 40 38 10;0910755b@ac-versailles.fr;http://www.lyc-nadar-draveil.ac-versailles.fr;48.68169682267596;2.433930396204496;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0910755B;Lycée professionnel Nadar;42 bis rue Charles Mory;;;91210;Draveil;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6930;Lycée;Public;LYCEE POLYVALENT;01 69 40 38 10;0910755b@ac-versailles.fr;http://www.lyc-nadar-draveil.ac-versailles.fr;48.68169682267596;2.433930396204496;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0772629P;Section d'enseignement professionnel du lycée polyvalent Saint Aspais;36 rue Saint-Barthélemy;CS 20179;;77007;Melun;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15829;Lycée;Privé;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 60 56 59 59;secretariat@institutionsaintaspais.fr;http://www.institutionsaintaspais.fr;48.542187019437556;2.6554008685423067;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0911828T;Lycée Georges Brassens;8 rue Georges Brassens;;;91080;Evry-Courcouronnes;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11586;Lycée;Public;LYCEE POLYVALENT;01 69 47 54 70;0911828t@ac-versailles.fr;http://www.lyc-brassens-courcouronnes.ac-versailles.fr;48.626687758550254;2.4202747764766652;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0911828T;Lycée Georges Brassens;8 rue Georges Brassens;;;91080;Evry-Courcouronnes;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11586;Lycée;Public;LYCEE POLYVALENT;01 69 47 54 70;0911828t@ac-versailles.fr;http://www.lyc-brassens-courcouronnes.ac-versailles.fr;48.626687758550254;2.4202747764766652;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0780273Y;Lycée professionnel Louis Blériot;Rue Léo Lagrange;BP 111;;78192;Trappes;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8896;Lycée;Public;LYCEE POLYVALENT;01 30 51 88 18;0780273y@ac-versailles.fr;http://www.lyc-bleriot-trappes.ac-versailles.fr;48.77727873583435;1.9810310827260558;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0780273Y;Lycée professionnel Louis Blériot;Rue Léo Lagrange;BP 111;;78192;Trappes;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8896;Lycée;Public;LYCEE POLYVALENT;01 30 51 88 18;0780273y@ac-versailles.fr;http://www.lyc-bleriot-trappes.ac-versailles.fr;48.77727873583435;1.9810310827260558;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0780273Y;Lycée professionnel Louis Blériot;Rue Léo Lagrange;BP 111;;78192;Trappes;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8896;Lycée;Public;LYCEE POLYVALENT;01 30 51 88 18;0780273y@ac-versailles.fr;http://www.lyc-bleriot-trappes.ac-versailles.fr;48.77727873583435;1.9810310827260558;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0771880A;Lycée professionnel Charles Baudelaire;Avenue des comtes de Champagne;;;77100;Meaux;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16788;Lycée;Public;LYCEE PROFESSIONNEL;01 60 09 07 05;ce.0771880a@ac-creteil.fr;http://www.lpbaudelaire.fr;48.95450640962863;2.914051656596103;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0750775K;LP Gustave Ferrié;7 rue des Ecluses Saint-Martin;;;75010;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11280;Lycée;Public;LYCEE PROFESSIONNEL;01 42 02 19 55;ce.0750775k@ac-paris.fr;http://lyc-gustave-ferrie.ac-paris.fr;48.87648795717409;2.367405677134921;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0912124P;Section d'enseignement professionnel du lycée Parc de Vilgénis;80 rue de Versailles;;;91300;Massy;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17196;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 69 53 74 00;ce.0910727W@ac-versailles.fr;http://www.vilgenis.fr;48.73154786458686;2.254524266984075;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0910628N;Lycée professionnel Paul Belmondo;23 avenue de la Division Leclerc;;;91290;Arpajon;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14021;Lycée;Public;LYCEE PROFESSIONNEL;01 60 83 80 60;0910628n@ac-versailles.fr;http://www.lyc-belmondo-arpajon.ac-versailles.fr;48.59662184082922;2.246205681470227;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0910628N;Lycée professionnel Paul Belmondo;23 avenue de la Division Leclerc;;;91290;Arpajon;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14021;Lycée;Public;LYCEE PROFESSIONNEL;01 60 83 80 60;0910628n@ac-versailles.fr;http://www.lyc-belmondo-arpajon.ac-versailles.fr;48.59662184082922;2.246205681470227;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0951673C;Lycée polyvalent Gustave Eiffel, Lycée des métiers de l'électricité et des services aux entreprises;9 allée Jean de Florette;;;95120;Ermont;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8997;Lycée;Public;LYCEE POLYVALENT;01 34 14 17 32;0951673c@ac-versailles.fr;http://www.lyc-eiffel-ermont.ac-versailles.fr;48.98436048681312;2.244473864378136;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0951673C;Lycée polyvalent Gustave Eiffel, Lycée des métiers de l'électricité et des services aux entreprises;9 allée Jean de Florette;;;95120;Ermont;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8997;Lycée;Public;LYCEE POLYVALENT;01 34 14 17 32;0951673c@ac-versailles.fr;http://www.lyc-eiffel-ermont.ac-versailles.fr;48.98436048681312;2.244473864378136;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0951673C;Lycée polyvalent Gustave Eiffel, Lycée des métiers de l'électricité et des services aux entreprises;9 allée Jean de Florette;;;95120;Ermont;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8997;Lycée;Public;LYCEE POLYVALENT;01 34 14 17 32;0951673c@ac-versailles.fr;http://www.lyc-eiffel-ermont.ac-versailles.fr;48.98436048681312;2.244473864378136;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0920141D;Lycée polyvalent Frédéric et Irène Joliot Curie;92 avenue Joliot-Curie;;;92014;Nanterre;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3763;Lycée;Public;LYCEE POLYVALENT;01 47 21 20 19;0920141D@ac-versailles.fr;http://www.lyc-curie-nanterre.ac-versailles.fr;48.89097484069988;2.2075839125947363;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0920141D;Lycée polyvalent Frédéric et Irène Joliot Curie;92 avenue Joliot-Curie;;;92014;Nanterre;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3763;Lycée;Public;LYCEE POLYVALENT;01 47 21 20 19;0920141D@ac-versailles.fr;http://www.lyc-curie-nanterre.ac-versailles.fr;48.89097484069988;2.2075839125947363;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0930846P;Lycée professionnel Voillaume;136 rue de Mitry;;;93600;Aulnay-sous-Bois;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7926;Lycée;Public;LYCEE PROFESSIONNEL;01 48 19 31 93;ce.0930846P@ac-creteil.fr;http://www.lyceevoillaume.net;48.94454426421222;2.5082514034395587;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0950641F;Lycée Jean Jaurès;25 rue Charles Lecocq;;;95100;Argenteuil;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12440;Lycée;Public;LYCEE POLYVALENT;01 39 98 50 00;0950641F@ac-versailles.fr;http://www.lyc-jaures-argenteuil.ac-versailles.fr/;48.93993923166503;2.226184703043667;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0950641F;Lycée Jean Jaurès;25 rue Charles Lecocq;;;95100;Argenteuil;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12440;Lycée;Public;LYCEE POLYVALENT;01 39 98 50 00;0950641F@ac-versailles.fr;http://www.lyc-jaures-argenteuil.ac-versailles.fr/;48.93993923166503;2.226184703043667;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0950641F;Lycée Jean Jaurès;25 rue Charles Lecocq;;;95100;Argenteuil;Val-d'Oise;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12440;Lycée;Public;LYCEE POLYVALENT;01 39 98 50 00;0950641F@ac-versailles.fr;http://www.lyc-jaures-argenteuil.ac-versailles.fr/;48.93993923166503;2.226184703043667;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0922653J;Lycée polyvalent La Salle - Saint-Nicolas (Lycée des métiers);19 rue Victor Hugo;;;92130;Issy-les-Moulineaux;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4421;Lycée;Privé;LYCEE POLYVALENT;01 41 46 15 15;0922653J@ac-versailles.fr;http://www.st-nicolas.org;48.82644117673118;2.275697500563575;FOR.847;sécu;3;CAP;certificat d'aptitude professionnelle;CAP agent de sécurité;AS;18620;50034405;http://www.onisep.fr/http/redirection/formation/slug/FOR.847;#b8ffb8
0922653J;Lycée polyvalent La Salle - Saint-Nicolas (Lycée des métiers);19 rue Victor Hugo;;;92130;Issy-les-Moulineaux;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4421;Lycée;Privé;LYCEE POLYVALENT;01 41 46 15 15;0922653J@ac-versailles.fr;http://www.st-nicolas.org;48.82644117673118;2.275697500563575;FOR.3651;sécu;4;bac pro;baccalauréat professionnel;bac pro Métiers de la sécurité;;19114;40034403;http://www.onisep.fr/http/redirection/formation/slug/FOR.3651;#8fff8f
0922653J;Lycée polyvalent La Salle - Saint-Nicolas (Lycée des métiers);19 rue Victor Hugo;;;92130;Issy-les-Moulineaux;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4421;Lycée;Privé;LYCEE POLYVALENT;01 41 46 15 15;0922653J@ac-versailles.fr;http://www.st-nicolas.org;48.82644117673118;2.275697500563575;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0920158X;Lycée professionnel La Tournelle;87 boulevard National;;;92250;La Garenne-Colombes;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12570;Lycée;Public;LYCEE POLYVALENT;01 41 19 20 30;0920158x@ac-versailles.fr;http://www.lyc-tournelle-garenne.ac-versailles.fr;48.906938973686685;2.237810469917158;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0772328M;Section d'enseignement professionnel du lycée Simone Veil;1 avenue Pierre Mendès France;BP 14;;77186;Noisiel;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5487;Lycée;Public;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 60 37 56 56;lyceesdenoisiel@leslyceesdenoisiel.net;https://lyceesimoneveil.fr/;48.84004109447141;2.617014497293075;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0754915K;Section d'enseignement général et technologique du lycée technique privé Saint-Nicolas;92 rue de Vaugirard;;;75006;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9711;Lycée;Privé;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 42 22 83 60;contact@lyceesaintnicolas.org;http://www.lyceesaintnicolas.com;48.84679727675692;2.3258011295926937;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0932367T;Section d'enseignement professionnel du lycée  la Salle Saint-Denis;6-8 place de la Résistance;;;93200;Saint-Denis;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16970;Lycée;Privé;SECTION D ENSEIGNEMENT PROFESSIONNEL;01 55 87 45 00;contact@lasallesaintdenis.com;https://www.lasallesaintdenis.com;48.93281417844132;2.3550342810074176;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0755748R;Institut Supérieur des Ressources Informatiques;6-8 impasse des deux Cousins;;75017 PARIS;75017;Paris 17e  Arrondissement;Paris;Paris;;Lycée;Privé;LYCEE POLYVALENT;0144018670;contact@ecoleiris.fr;;48.88489364035247;2.293371928557532;FOR.8727;cyber;4;bac pro;baccalauréat professionnel;bac pro cybersécurité, informatique et réseaux, électronique;CIEL;37489;40025519;http://www.onisep.fr/http/redirection/formation/slug/FOR.8727;#ff8f8f
0755748R;Institut Supérieur des Ressources Informatiques;6-8 impasse des deux Cousins;;75017 PARIS;75017;Paris 17e  Arrondissement;Paris;Paris;;Lycée;Privé;LYCEE POLYVALENT;0144018670;contact@ecoleiris.fr;;48.88489364035247;2.293371928557532;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0755748R;Institut Supérieur des Ressources Informatiques;6-8 impasse des deux Cousins;;75017 PARIS;75017;Paris 17e  Arrondissement;Paris;Paris;;Lycée;Privé;LYCEE POLYVALENT;0144018670;contact@ecoleiris.fr;;48.88489364035247;2.293371928557532;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
